Class,ZeroShot_ClassName,Best_Single_Prompt,Prompt_Ensemble,Linear_Probe,LP_vs_ZeroShot,LP_vs_BestPrompt,LP_vs_Ensemble
frog,77.0,75.4,76.4,95.4,18.400000000000006,20.0,19.0
airplane,81.3,89.5,88.8,96.3,15.0,6.799999999999997,7.5
cat,79.2,87.0,85.4,89.0,9.799999999999997,2.0,3.5999999999999943
deer,82.2,78.9,79.6,91.9,9.700000000000003,13.0,12.300000000000011
automobile,89.9,93.8,96.7,96.9,7.0,3.1000000000000085,0.20000000000000284
dog,85.2,88.9,87.6,90.1,4.8999999999999915,1.1999999999999886,2.5
truck,93.9,96.9,92.6,96.9,3.0,0.0,4.300000000000011
ship,96.3,95.7,96.7,96.4,0.10000000000000853,0.7000000000000028,-0.29999999999999716
bird,91.7,87.5,88.1,89.8,-1.9000000000000057,2.299999999999997,1.7000000000000028
horse,97.1,96.7,96.8,94.9,-2.1999999999999886,-1.7999999999999972,-1.8999999999999915
