epoch,train_loss,train_accuracy
1,1.9503116747665405,85.08
2,1.378321644668579,90.904
3,1.0029170879745484,91.092
4,0.7704514848327637,91.404
5,0.6243611614608765,91.68
6,0.5279659334945679,91.91
7,0.4609746596622467,92.166
8,0.4123341820812225,92.418
9,0.3755889887332916,92.646
10,0.34705667860031125,92.78
11,0.32426062086105345,92.906
12,0.30566868081092835,92.988
13,0.29022576345443724,93.134
14,0.27722030941963194,93.18
15,0.2661314668750763,93.268
16,0.2565593657016754,93.338
17,0.24824516193389892,93.412
18,0.24101352416038513,93.46
19,0.23455199919700623,93.516
20,0.22884995361804963,93.552
