setting,prompt,class,accuracy,accuracy_percent,correct,total
zero-shot,class name,airplane,0.8130000233650208,81.30000233650208,813,1000
zero-shot,class name,automobile,0.8989999890327454,89.89999890327454,899,1000
zero-shot,class name,bird,0.9169999957084656,91.69999957084656,917,1000
zero-shot,class name,cat,0.7919999957084656,79.19999957084656,792,1000
zero-shot,class name,deer,0.8220000267028809,82.20000267028809,822,1000
zero-shot,class name,dog,0.8519999980926514,85.19999980926514,852,1000
zero-shot,class name,frog,0.7699999809265137,76.99999809265137,770,1000
zero-shot,class name,horse,0.9710000157356262,97.10000157356262,971,1000
zero-shot,class name,ship,0.9629999995231628,96.29999995231628,963,1000
zero-shot,class name,truck,0.9390000104904175,93.90000104904175,939,1000
zero-shot,a photo of a {},airplane,0.9020000100135803,90.20000100135803,902,1000
zero-shot,a photo of a {},automobile,0.9760000109672546,97.60000109672546,976,1000
zero-shot,a photo of a {},bird,0.8880000114440918,88.80000114440918,888,1000
zero-shot,a photo of a {},cat,0.8619999885559082,86.19999885559082,862,1000
zero-shot,a photo of a {},deer,0.7649999856948853,76.49999856948853,765,1000
zero-shot,a photo of a {},dog,0.8830000162124634,88.30000162124634,883,1000
zero-shot,a photo of a {},frog,0.7749999761581421,77.49999761581421,775,1000
zero-shot,a photo of a {},horse,0.9769999980926514,97.69999980926514,977,1000
zero-shot,a photo of a {},ship,0.9549999833106995,95.49999833106995,955,1000
zero-shot,a photo of a {},truck,0.8999999761581421,89.99999761581421,900,1000
zero-shot,a close-up photo of a {},airplane,0.875,87.5,875,1000
zero-shot,a close-up photo of a {},automobile,0.9589999914169312,95.89999914169312,959,1000
zero-shot,a close-up photo of a {},bird,0.8330000042915344,83.30000042915344,833,1000
zero-shot,a close-up photo of a {},cat,0.8610000014305115,86.10000014305115,861,1000
zero-shot,a close-up photo of a {},deer,0.7919999957084656,79.19999957084656,792,1000
zero-shot,a close-up photo of a {},dog,0.8730000257492065,87.30000257492065,873,1000
zero-shot,a close-up photo of a {},frog,0.6259999871253967,62.59999871253967,626,1000
zero-shot,a close-up photo of a {},horse,0.9610000252723694,96.10000252723694,961,1000
zero-shot,a close-up photo of a {},ship,0.9779999852180481,97.79999852180481,978,1000
zero-shot,a close-up photo of a {},truck,0.9350000023841858,93.50000023841858,935,1000
zero-shot,an image of a {},airplane,0.8949999809265137,89.49999809265137,895,1000
zero-shot,an image of a {},automobile,0.9380000233650208,93.80000233650208,938,1000
zero-shot,an image of a {},bird,0.875,87.5,875,1000
zero-shot,an image of a {},cat,0.8700000047683716,87.00000047683716,870,1000
zero-shot,an image of a {},deer,0.7889999747276306,78.89999747276306,789,1000
zero-shot,an image of a {},dog,0.8889999985694885,88.89999985694885,889,1000
zero-shot,an image of a {},frog,0.7540000081062317,75.40000081062317,754,1000
zero-shot,an image of a {},horse,0.9670000076293945,96.70000076293945,967,1000
zero-shot,an image of a {},ship,0.9570000171661377,95.70000171661377,957,1000
zero-shot,an image of a {},truck,0.968999981880188,96.8999981880188,969,1000
