Class,Baseline,Prompt_Mean,Prompt_Worst,Prompt_Best,Prompt_Range,Ensemble,Ens_vs_Baseline,Ens_vs_PromptMean,Ens_vs_BestPrompt,Ens_vs_WorstPrompt,Inside_Prompt_Range
airplane,81.30000305175781,88.30000305175781,86.0,90.20000457763672,4.200004577636719,88.80000305175781,7.5,0.5,-1.4000015258789062,2.8000030517578125,True
automobile,89.9000015258789,96.19999694824219,93.80000305175781,97.5999984741211,3.7999954223632812,96.69999694824219,6.799995422363281,0.5,-0.9000015258789062,2.899993896484375,True
bird,91.69999694824219,87.35000610351562,83.30000305175781,89.80000305175781,6.5,88.0999984741211,-3.5999984741210938,0.7499923706054688,-1.7000045776367188,4.799995422363281,True
cat,79.19999694824219,85.17500305175781,81.4000015258789,87.0,5.599998474121094,85.4000015258789,6.200004577636719,0.22499847412109375,-1.5999984741210938,4.0,True
deer,82.20000457763672,78.80000305175781,76.5,80.5999984741211,4.099998474121094,79.5999984741211,-2.600006103515625,0.7999954223632812,-1.0,3.0999984741210938,True
dog,85.19999694824219,87.25,84.5,88.9000015258789,4.400001525878906,87.5999984741211,2.4000015258789062,0.34999847412109375,-1.3000030517578125,3.0999984741210938,True
frog,77.0,74.07499694824219,62.599998474121094,80.80000305175781,18.20000457763672,76.4000015258789,-0.5999984741210938,2.3250045776367188,-4.400001525878906,13.800003051757812,True
horse,97.0999984741211,96.89999389648438,96.10000610351562,97.69999694824219,1.5999908447265625,96.80000305175781,-0.29999542236328125,-0.0999908447265625,-0.899993896484375,0.6999969482421875,True
ship,96.30000305175781,96.20000457763672,95.5,97.79999542236328,2.2999954223632812,96.69999694824219,0.399993896484375,0.49999237060546875,-1.0999984741210938,1.1999969482421875,True
truck,93.9000015258789,91.375,85.0999984741211,96.9000015258789,11.800003051757812,92.5999984741211,-1.3000030517578125,1.2249984741210938,-4.3000030517578125,7.5,True
