rank,class,best_prompt,best_accuracy_percent,worst_prompt,worst_accuracy_percent,range_pp,class_name_percent,photo_percent,blurry_percent,close_up_percent,image_percent
1,frog,a blurry photo of a {},80.80000281333923,a close-up photo of a {},62.59999871253967,18.20000410079956,76.99999809265137,77.49999761581421,80.80000281333923,62.59999871253967,75.40000081062317
2,truck,an image of a {},96.8999981880188,a blurry photo of a {},85.10000109672546,11.799997091293335,93.90000104904175,89.99999761581421,85.10000109672546,93.50000023841858,96.8999981880188
3,airplane,a photo of a {},90.20000100135803,class name,81.30000233650208,8.899998664855957,81.30000233650208,90.20000100135803,86.00000143051147,87.5,89.49999809265137
4,bird,class name,91.69999957084656,a close-up photo of a {},83.30000042915344,8.399999141693115,91.69999957084656,88.80000114440918,89.80000019073486,83.30000042915344,87.5
5,cat,an image of a {},87.00000047683716,class name,79.19999957084656,7.800000905990601,79.19999957084656,86.19999885559082,81.40000104904175,86.10000014305115,87.00000047683716
6,automobile,a photo of a {},97.60000109672546,class name,89.89999890327454,7.700002193450928,89.89999890327454,97.60000109672546,97.50000238418579,95.89999914169312,93.80000233650208
7,deer,class name,82.20000267028809,a photo of a {},76.49999856948853,5.7000041007995605,82.20000267028809,76.49999856948853,80.59999942779541,79.19999957084656,78.89999747276306
8,dog,an image of a {},88.89999985694885,a blurry photo of a {},84.50000286102295,4.399996995925903,85.19999980926514,88.30000162124634,84.50000286102295,87.30000257492065,88.89999985694885
9,ship,a close-up photo of a {},97.79999852180481,a photo of a {},95.49999833106995,2.3000001907348633,96.29999995231628,95.49999833106995,95.80000042915344,97.79999852180481,95.70000171661377
10,horse,a photo of a {},97.69999980926514,a close-up photo of a {},96.10000252723694,1.5999972820281982,97.10000157356262,97.69999980926514,97.10000157356262,96.10000252723694,96.70000076293945
